,density,material_id,unit_cell_formula
64,2.729932431978054,mp-23076,"{'Rb': 8.0, 'Co': 4.0, 'Cl': 16.0}"
65,4.056780779153017,mp-582423,"{'Cs': 12.0, 'Cu': 8.0, 'Br': 20.0}"
66,4.166629334203272,mp-28070,"{'Rb': 4.0, 'Te': 2.0, 'I': 12.0}"
67,3.3077914668359303,mp-1232302,"{'Rb': 2.0, 'Cu': 2.0, 'Cl': 6.0}"
68,4.797825693373753,mp-568005,"{'Cs': 1.0, 'Yb': 1.0, 'Br': 3.0}"
69,4.419040946876881,mp-600089,"{'Cs': 1.0, 'Pb': 1.0, 'Br': 3.0}"
70,3.8701861918153297,mp-1209403,"{'Rb': 4.0, 'Fe': 4.0, 'I': 16.0}"
71,5.25092659444254,mp-27834,"{'Tl': 2.0, 'Pt': 1.0, 'Cl': 6.0}"
72,5.615474924736261,mp-5704,"{'Tl': 12.0, 'As': 4.0, 'S': 16.0}"
73,2.8698270612023458,mp-22978,"{'Rb': 2.0, 'Mn': 1.0, 'Cl': 4.0}"
74,4.457200065816534,mp-29936,"{'Rb': 8.0, 'Pd': 4.0, 'I': 24.0}"
75,6.215163955048104,mp-4160,"{'Tl': 12.0, 'P': 4.0, 'Se': 16.0}"
76,4.281340323505602,mp-23481,"{'Cs': 12.0, 'Cu': 8.0, 'I': 20.0}"
77,3.9124472608692833,mp-1204449,"{'Cs': 24.0, 'Zn': 12.0, 'I': 48.0}"
78,6.029985876541862,mp-31287,"{'Tl': 24.0, 'Pd': 8.0, 'Br': 40.0}"
79,4.555602069914749,mp-669458,"{'Cs': 6.0, 'Bi': 4.0, 'I': 18.0}"
80,4.218863629681992,mp-573702,"{'Cs': 4.0, 'Tl': 4.0, 'Br': 16.0}"
81,3.168061368372294,mp-1193242,"{'Cs': 8.0, 'Co': 4.0, 'Cl': 16.0}"
82,4.752051654543362,mp-27300,"{'Rb': 2.0, 'Au': 2.0, 'Br': 6.0}"
83,4.236468772572612,mp-540881,"{'Cs': 8.0, 'Ag': 4.0, 'I': 12.0}"
84,4.13292488312573,mp-23038,"{'Cs': 2.0, 'V': 2.0, 'Br': 6.0}"
85,4.435532525910827,mp-30996,"{'Rb': 2.0, 'Au': 2.0, 'Br': 8.0}"
86,3.8812679216461765,mp-570099,"{'Rb': 2.0, 'V': 2.0, 'Br': 6.0}"
87,4.434897775679085,mp-1201723,"{'Sn': 12.0, 'Sb': 4.0, 'F': 36.0}"
88,4.460553928068586,mp-647426,"{'Cs': 2.0, 'Np': 1.0, 'Br': 6.0}"
89,6.971301341804368,mp-7684,"{'Tl': 3.0, 'As': 1.0, 'Se': 3.0}"
90,5.0331621863947325,mp-568666,"{'Rb': 2.0, 'Au': 2.0, 'I': 6.0}"
91,2.3472203357232018,mp-504968,"{'Rb': 4.0, 'Fe': 4.0, 'Cl': 16.0}"
92,4.226897498662958,mp-614013,"{'Cs': 1.0, 'Sn': 1.0, 'I': 3.0}"
93,3.2464049507403985,mp-23486,"{'Rb': 2.0, 'Ni': 2.0, 'Cl': 6.0}"
94,3.9414976158031245,mp-1200647,"{'Cs': 12.0, 'Zn': 4.0, 'I': 20.0}"
95,3.117618343668325,mp-27804,"{'Rb': 6.0, 'Cu': 4.0, 'Cl': 14.0}"
96,4.273186219514939,mp-23467,"{'Cs': 2.0, 'Sn': 4.0, 'Br': 10.0}"
97,5.427899985811084,mp-31077,"{'Tl': 4.0, 'Te': 2.0, 'I': 12.0}"
98,4.309394344134629,mp-567780,"{'Rb': 2.0, 'Sn': 4.0, 'Br': 10.0}"
99,4.346721812608023,mp-540822,"{'Cs': 6.0, 'Zr': 4.0, 'I': 18.0}"
100,3.412129521716593,mp-568396,"{'Ba': 8.0, 'Fe': 16.0, 'Br': 64.0}"
101,4.092751151255834,mp-640052,"{'Cs': 8.0, 'Ag': 4.0, 'Br': 12.0}"
102,3.3376903701958534,mp-23336,"{'Cs': 3.0, 'Mn': 3.0, 'Cl': 9.0}"
103,6.761534217014161,mp-1205742,"{'Tl': 3.0, 'Cr': 1.0, 'F': 6.0}"
104,4.629361711677478,mp-29398,"{'Cs': 2.0, 'Hf': 1.0, 'I': 6.0}"
105,4.069810049696817,mp-1112642,"{'Cs': 2.0, 'In': 2.0, 'Br': 6.0}"
106,4.0834407310144725,mp-23399,"{'Rb': 8.0, 'Ag': 4.0, 'I': 12.0}"
107,3.7394365299855865,mp-1193173,"{'Cs': 8.0, 'Zn': 4.0, 'Br': 16.0}"
108,4.757663080540303,mp-27871,"{'Rh': 2.0, 'Br': 6.0}"
109,2.561197565788979,mp-27570,"{'Cs': 4.0, 'Fe': 4.0, 'Cl': 16.0}"
110,3.8582009085652014,mp-567714,"{'Rb': 8.0, 'Ag': 4.0, 'Br': 12.0}"
111,3.456385299181914,mp-30164,"{'Cs': 2.0, 'Sn': 4.0, 'Cl': 10.0}"
112,7.031515967945506,mp-10644,"{'Ta': 1.0, 'Tl': 3.0, 'Se': 4.0}"
113,4.109720667899417,mp-1195363,"{'Rb': 12.0, 'Bi': 8.0, 'Br': 36.0}"
114,3.9491292354483556,mp-1103539,"{'Cs': 4.0, 'Cd': 2.0, 'I': 8.0}"
115,5.928656696405218,mp-27397,"{'Ir': 2.0, 'Br': 6.0}"
116,4.074595547815445,mp-1209693,"{'Rb': 12.0, 'Sb': 8.0, 'I': 36.0}"
117,3.5362368644844175,mp-22990,"{'Cs': 1.0, 'I': 1.0, 'Cl': 2.0}"
118,2.954064587351544,mp-23059,"{'Rb': 2.0, 'Sn': 1.0, 'Cl': 6.0}"
119,4.486211567818194,mp-1192748,"{'Cs': 6.0, 'Nb': 4.0, 'I': 18.0}"
120,3.2581715258721373,mp-616439,"{'Cs': 8.0, 'Cu': 4.0, 'Cl': 16.0}"
121,3.5797471486975265,mp-22950,"{'Cs': 2.0, 'Ni': 2.0, 'Cl': 6.0}"
122,5.470036248785521,mp-16848,"{'Tl': 12.0, 'P': 4.0, 'S': 16.0}"
123,4.433308599996832,mp-1238793,"{'Cs': 2.0, 'Hf': 1.0, 'Br': 6.0}"
124,2.8755650372482666,mp-1209302,"{'Rb': 2.0, 'Tc': 1.0, 'Cl': 6.0}"
125,4.535852458397697,mp-1069538,"{'Cs': 1.0, 'Pb': 1.0, 'I': 3.0}"
126,6.892913589266826,mp-1205554,"{'Tl': 3.0, 'Ga': 1.0, 'F': 6.0}"
127,2.778416342861221,mp-571648,"{'Rb': 2.0, 'Mn': 1.0, 'Cl': 6.0}"
128,4.425671475225835,mp-23232,"{'Fe': 2.0, 'Br': 6.0}"
129,4.092483447738724,mp-7449,"{'Cs': 4.0, 'Se': 6.0}"
130,3.6056020966752396,mp-1112651,"{'Cs': 3.0, 'In': 1.0, 'Br': 6.0}"
131,4.169442640120304,mp-571265,"{'Rb': 4.0, 'U': 2.0, 'Br': 12.0}"
132,3.4821145750529325,mp-582024,"{'Cs': 12.0, 'Cu': 8.0, 'Cl': 20.0}"
133,4.332299359359421,mp-541899,"{'Cs': 2.0, 'Cd': 2.0, 'Br': 6.0}"
134,3.242496931131389,mp-1205840,"{'Cs': 2.0, 'Tc': 1.0, 'Cl': 6.0}"
135,3.118908840803914,mp-1541714,"{'Cs': 3.0, 'As': 2.0, 'Cl': 9.0}"
136,2.9185609078072337,mp-22975,"{'Rb': 2.0, 'Te': 1.0, 'Cl': 6.0}"
137,4.231081253122884,mp-568753,"{'Tc': 4.0, 'Br': 12.0}"
138,3.4511111797912775,mp-1200099,"{'Rb': 48.0, 'Zn': 24.0, 'Br': 96.0}"
139,6.44222186328496,mp-1025396,"{'Nb': 1.0, 'Tl': 3.0, 'Se': 4.0}"
140,3.5573955530283308,mp-28558,"{'Rb': 4.0, 'Ge': 4.0, 'Br': 12.0}"
141,3.4872481347382407,mp-672251,"{'Cs': 4.0, 'Ga': 4.0, 'Br': 16.0}"
142,4.885291066807383,mp-1185576,"{'Cs': 4.0, 'Yb': 4.0, 'I': 12.0}"
143,3.371127627385001,mp-23475,"{'Rb': 2.0, 'Pb': 1.0, 'Cl': 6.0}"
144,3.08424536188244,mp-28145,"{'Rb': 2.0, 'Pd': 1.0, 'Cl': 6.0}"
145,3.26938358152157,mp-608555,"{'Cs': 2.0, 'Sn': 1.0, 'Cl': 6.0}"
146,5.179492162574642,mp-29613,"{'Cs': 4.0, 'Eu': 8.0, 'I': 20.0}"
147,3.1855046571324768,mp-1211520,"{'K': 4.0, 'Fe': 4.0, 'Br': 16.0}"
148,6.175528205248084,mp-14242,"{'Tl': 4.0, 'Ge': 2.0, 'Se': 6.0}"
149,3.1449839153387473,mp-27394,"{'Cs': 4.0, 'Sn': 4.0, 'Cl': 12.0}"
150,4.349558820200799,mp-28421,"{'Cs': 4.0, 'Hg': 2.0, 'I': 8.0}"
151,3.9222483110410384,mp-567558,"{'Cs': 2.0, 'Ag': 2.0, 'Cl': 4.0}"
152,3.9426479797871865,mp-27734,"{'Cr': 2.0, 'Br': 6.0}"
153,3.459594963361655,mp-23032,"{'Cs': 6.0, 'Cu': 6.0, 'Cl': 18.0}"
154,4.1711062494547555,mp-1238804,"{'Cs': 8.0, 'Pb': 2.0, 'I': 12.0}"
155,3.2195612069678927,mp-1105622,"{'Cs': 6.0, 'Co': 2.0, 'Cl': 10.0}"
