material_id,band_gap,density,unit_cell_formula
mp-23850,1.9708,1.3082142195941655,"{'Na': 4.0, 'H': 8.0, 'N': 4.0}"
mp-24383,3.0141,1.3100540207237938,"{'Mg': 16.0, 'H': 64.0, 'N': 32.0}"
mp-28892,4.5996,1.6754796474540177,"{'P': 12.0, 'H': 48.0, 'N': 36.0}"
mp-697139,4.9669,2.545435142414344,"{'P': 4.0, 'H': 4.0, 'N': 8.0}"
mp-24290,2.8136,1.662827631556635,"{'H': 4.0, 'S': 28.0, 'N': 4.0}"
mp-28143,2.1222,1.561654364054763,"{'H': 32.0, 'S': 20.0, 'N': 8.0}"
mp-505451,2.3976,1.6661735249751355,"{'H': 4.0, 'S': 36.0, 'N': 4.0}"
mp-34337,4.9364,1.5240790751255149,"{'H': 4.0, 'N': 1.0, 'Cl': 1.0}"
mp-24428,2.0676,1.6548367477087478,"{'K': 2.0, 'H': 4.0, 'N': 2.0}"
mp-974267,2.8729,1.3296483371931238,"{'K': 2.0, 'H': 16.0, 'N': 6.0}"
mp-24119,1.6785,2.4400444520040017,"{'Ca': 8.0, 'H': 4.0, 'N': 4.0}"
mp-34932,2.4395,2.555174732703944,"{'Ca': 1.0, 'H': 1.0, 'N': 1.0}"
mp-644307,3.0351,1.727118726773357,"{'Ca': 4.0, 'H': 16.0, 'N': 8.0}"
mp-24694,2.3713,2.490184646066881,"{'Zn': 16.0, 'H': 64.0, 'N': 32.0}"
mp-23675,4.8195,2.1865214249289595,"{'H': 8.0, 'Br': 2.0, 'N': 2.0}"
mp-697144,1.9109,2.5548650631582457,"{'Rb': 2.0, 'H': 4.0, 'N': 2.0}"
mp-1198991,2.0756,2.128184701635117,"{'Rb': 6.0, 'H': 24.0, 'N': 10.0}"
mp-1187172,2.0279,3.986655687513168,"{'Sr': 4.0, 'H': 4.0, 'N': 4.0}"
mp-690794,1.8444,3.928177143164844,"{'Sr': 2.0, 'H': 1.0, 'N': 1.0}"
mp-643905,2.354,2.396280003778366,"{'Sr': 4.0, 'H': 16.0, 'N': 8.0}"
mp-28281,1.9039,3.596958835443735,"{'H': 16.0, 'I': 12.0, 'N': 4.0}"
mp-721084,3.6958,2.034781367108882,"{'H': 28.0, 'I': 4.0, 'N': 8.0}"
mp-643062,4.2487,2.878581673197723,"{'H': 8.0, 'I': 2.0, 'N': 2.0}"
mp-1184037,2.161,2.653079069928928,"{'Cs': 4.0, 'H': 20.0, 'N': 8.0}"
mp-1103732,2.6396,5.140427011056216,"{'Yb': 2.0, 'H': 8.0, 'N': 4.0}"
mp-27714,7.0664,1.4936394315591026,"{'H': 12.0, 'O': 4.0, 'F': 4.0}"
mp-28003,7.3982,1.5665461040267228,"{'H': 12.0, 'O': 2.0, 'F': 8.0}"
mp-23798,7.3775,1.565829691464351,"{'H': 16.0, 'O': 4.0, 'F': 8.0}"
mp-733637,3.5073,1.5390626308834463,"{'Na': 4.0, 'H': 32.0, 'O': 20.0}"
mp-24193,4.3479,1.7491290502613817,"{'Na': 8.0, 'H': 24.0, 'O': 16.0}"
mp-625378,4.7414,1.393672205350052,"{'Na': 2.0, 'H': 18.0, 'O': 10.0}"
mp-626000,3.0075,1.9837149797760791,"{'Na': 2.0, 'H': 2.0, 'O': 2.0}"
mp-30247,4.1944,2.3040776732200565,"{'Mg': 1.0, 'H': 2.0, 'O': 2.0}"
mp-625054,5.2866,3.00416440924848,"{'Al': 2.0, 'H': 2.0, 'O': 4.0}"
mp-23902,6.2293,1.895040561937656,"{'P': 4.0, 'H': 12.0, 'O': 16.0}"
mp-29095,5.7308,1.869996678343176,"{'H': 16.0, 'S': 4.0, 'O': 20.0}"
mp-625475,6.0941,1.8279673348045684,"{'H': 4.0, 'S': 2.0, 'O': 8.0}"
mp-24118,5.5158,1.5481352060178917,"{'H': 20.0, 'S': 2.0, 'O': 16.0}"
mp-31373,5.2198,1.3473929993784517,"{'H': 36.0, 'S': 2.0, 'O': 24.0}"
mp-27694,5.4984,1.9087334996748444,"{'H': 12.0, 'Cl': 4.0, 'O': 20.0}"
mp-625151,5.2273,1.3564248468658764,"{'H': 14.0, 'Cl': 2.0, 'O': 6.0}"
mp-558867,5.2091,1.750164048100765,"{'H': 56.0, 'Cl': 8.0, 'O': 56.0}"
mp-34078,5.3899,1.4193980805092987,"{'H': 3.0, 'Cl': 1.0, 'O': 1.0}"
mp-28263,4.3876,1.8970138221453328,"{'K': 4.0, 'H': 12.0, 'O': 8.0}"
mp-626785,3.6839,2.1648133256954893,"{'K': 2.0, 'H': 2.0, 'O': 2.0}"
mp-23879,4.1225,2.197721272236623,"{'Ca': 1.0, 'H': 2.0, 'O': 2.0}"
mp-625150,4.4261,2.994110049042197,"{'Sc': 2.0, 'H': 2.0, 'O': 4.0}"
mp-625381,1.5387,3.3588781269992203,"{'V': 2.0, 'H': 3.0, 'O': 5.0}"
mp-23910,3.0588,3.874840379353752,"{'Cr': 4.0, 'H': 4.0, 'O': 8.0}"
mp-27913,2.1483,4.8805698547631104,"{'Co': 1.0, 'H': 1.0, 'O': 2.0}"
mp-625830,2.9733,3.058746210994165,"{'Zn': 4.0, 'H': 8.0, 'O': 8.0}"
mp-634326,3.2571,4.990362102292154,"{'Ga': 4.0, 'H': 4.0, 'O': 8.0}"
mp-626378,3.5559,3.437646902438173,"{'As': 12.0, 'H': 4.0, 'O': 24.0}"
mp-27404,3.0736,3.2357643473492432,"{'As': 3.0, 'H': 5.0, 'O': 10.0}"
mp-774848,3.9947,1.9351525763702797,"{'H': 40.0, 'Se': 4.0, 'O': 32.0}"
mp-720376,3.5177,2.518927040478196,"{'H': 32.0, 'Se': 8.0, 'O': 40.0}"
mp-23866,3.4172,2.6632880246795927,"{'H': 8.0, 'Se': 4.0, 'O': 16.0}"
mp-625661,4.3515,1.816365467402184,"{'H': 36.0, 'Br': 4.0, 'O': 16.0}"
mp-625509,4.4205,2.3335200303703503,"{'H': 3.0, 'Br': 1.0, 'O': 1.0}"
mp-28264,4.2764,2.758175154275808,"{'Rb': 2.0, 'H': 6.0, 'O': 4.0}"
mp-626620,3.3366,3.3159239835659102,"{'Rb': 2.0, 'H': 2.0, 'O': 2.0}"
mp-625801,4.0014,1.952694413023604,"{'Sr': 2.0, 'H': 32.0, 'O': 20.0}"
mp-1179405,0.2199,2.652024288122129,"{'Sr': 2.0, 'H': 8.0, 'O': 12.0}"
mp-27425,4.0386,3.34747390484506,"{'Sr': 4.0, 'H': 8.0, 'O': 8.0}"
mp-626151,4.4068,4.455577324957717,"{'Y': 2.0, 'H': 2.0, 'O': 4.0}"
mp-625094,1.7067,4.6347545975977305,"{'Cd': 2.0, 'H': 4.0, 'O': 4.0}"
mp-626412,2.7719,4.1652678359326,"{'In': 4.0, 'H': 12.0, 'O': 12.0}"
mp-1195796,2.284,4.829344195198617,"{'Te': 8.0, 'H': 8.0, 'O': 24.0}"
mp-30981,3.0914,2.990060555008617,"{'Te': 4.0, 'H': 24.0, 'O': 24.0}"
mp-625136,3.4373,4.03721037696732,"{'Cs': 2.0, 'H': 2.0, 'O': 2.0}"
mp-28204,4.589,2.551953480039836,"{'Cs': 4.0, 'H': 28.0, 'O': 16.0}"
mp-541005,4.5535,2.9193103082718705,"{'Cs': 8.0, 'H': 40.0, 'O': 24.0}"
mp-626417,4.1021,3.493108239591268,"{'Cs': 1.0, 'H': 3.0, 'O': 2.0}"
mp-23904,4.2654,3.5319971618695325,"{'Ba': 2.0, 'H': 8.0, 'O': 6.0}"
mp-625888,0.0185,2.821494033121683,"{'Ba': 2.0, 'H': 8.0, 'O': 12.0}"
mp-626268,4.0422,2.159571175216919,"{'Ba': 2.0, 'H': 32.0, 'O': 20.0}"
mp-28587,4.8099,2.834073257951649,"{'Ba': 4.0, 'H': 32.0, 'O': 20.0}"
mp-626973,4.577,4.458339335634438,"{'Ba': 8.0, 'H': 16.0, 'O': 16.0}"
mp-626724,3.8407,5.253790701436348,"{'La': 2.0, 'H': 2.0, 'O': 4.0}"
mp-625394,3.7301,4.380742697554465,"{'La': 2.0, 'H': 6.0, 'O': 6.0}"
mp-28255,2.494,5.546971245405498,"{'La': 8.0, 'H': 8.0, 'O': 8.0}"
mp-626799,3.8868,4.066890645653974,"{'Re': 2.0, 'H': 6.0, 'O': 10.0}"
mp-625447,3.7614,4.591958645427395,"{'Pr': 2.0, 'H': 6.0, 'O': 6.0}"
mp-1190994,2.1056,6.09761802636427,"{'Nd': 8.0, 'H': 8.0, 'O': 8.0}"
mp-625403,3.8984,4.68151661171807,"{'Nd': 2.0, 'H': 6.0, 'O': 6.0}"
mp-625359,4.1681,5.8108025443014055,"{'Nd': 2.0, 'H': 2.0, 'O': 4.0}"
mp-1101397,3.9025,6.199401173699647,"{'Sm': 2.0, 'H': 2.0, 'O': 4.0}"
mp-625402,3.7509,5.129053577372971,"{'Sm': 2.0, 'H': 6.0, 'O': 6.0}"
mp-625147,3.108,6.637329369070549,"{'Gd': 2.0, 'H': 2.0, 'O': 4.0}"
mp-1079758,4.3147,6.91681828806825,"{'Tb': 2.0, 'H': 2.0, 'O': 4.0}"
mp-626173,4.3292,7.413421521689575,"{'Ho': 2.0, 'H': 2.0, 'O': 4.0}"
mp-504801,4.3865,7.620241750404506,"{'Er': 2.0, 'H': 2.0, 'O': 4.0}"
mp-625468,5.3261,5.433989900918795,"{'Lu': 4.0, 'H': 12.0, 'O': 12.0}"
mp-698101,2.1276,3.5484303314689565,"{'U': 2.0, 'H': 16.0, 'O': 16.0}"
mp-27837,6.8217,2.072712383992764,"{'Na': 1.0, 'H': 1.0, 'F': 2.0}"
mp-37458,1.3921,2.112850590642289,"{'Na': 2.0, 'H': 1.0, 'F': 4.0}"
mp-29514,7.5495,2.101439347317869,"{'P': 4.0, 'H': 4.0, 'F': 16.0}"
mp-29515,6.467,1.9271697850694285,"{'P': 2.0, 'H': 4.0, 'F': 6.0}"
mp-29331,7.6164,1.9583069901023868,"{'K': 2.0, 'H': 6.0, 'F': 8.0}"
mp-29330,7.1693,2.0033406714913515,"{'K': 8.0, 'H': 20.0, 'F': 28.0}"
